Instrument	bases	rel_bases
HiSeq X Ten	4.82010204721e+15	0.388120958549
Illumina HiSeq 2000	4.46993000044e+15	0.359924644629
Illumina HiSeq 2500	1.21453255659e+15	0.0977957593918
Complete Genomics	8.75152632344e+14	0.0704684413765
Illumina Genome Analyzer II	3.29344577142e+14	0.0265192586633
Illumina Genome Analyzer IIx	1.45681032998e+14	0.0117304284465
Illumina MiSeq	1.075612572e+14	0.00866097394585
NextSeq 500	1.04036420673e+14	0.00837714947112
Illumina HiSeq 4000	5.2172047339e+13	0.00420096189342
AB SOLiD 4 System	4.86744947307e+13	0.00391933435574
Illumina HiSeq 1000	3.77531685205e+13	0.00303993480033
Illumina Genome Analyzer	3.26841544594e+13	0.00263177111893
unspecified	3.20008685904e+13	0.00257675204178
Illumina HiSeq 1500	2.48360086418e+13	0.00199982809206
PacBio RS	1.68090157852e+13	0.00135348406629
AB SOLiD System 3.0	1.5464078279e+13	0.00124518792879
PacBio RS II	1.39380056412e+13	0.00112230655217
AB 5500xl Genetic Analyzer	1.32198839605e+13	0.00106448244962
Illumina HiSeq 3000	1.26662521357e+13	0.00101990328669
Ion Torrent Proton	1.00027377663e+13	0.000805433605334
NextSeq 550	7.39135538252e+12	0.000595161660053
Illumina HiScanSQ	6.34059938508e+12	0.000510553404681
454 GS FLX Titanium	5.95928558399e+12	0.000479849515731
AB SOLiD System 2.0	3.74156974345e+12	0.000301276118448
AB 5500 Genetic Analyzer	3.70015698428e+12	0.000297941508594
Helicos HeliScope	3.44401683034e+12	0.0002773167664
Ion Torrent PGM	3.09810039105e+12	0.000249463119594
AB SOLiD System	1.92028747516e+12	0.000154624073982
454 GS FLX	1.91535355106e+12	0.000154226787922
AB 5500xl-W Genetic Analysis System	1.36028740691e+12	0.000109532131707
AB SOLiD 3 Plus System	1.01726546847e+12	8.19115539165e-05
BGISEQ-500	6.5053972965e+11	5.2382314933e-05
454 GS FLX+	6.27631324591e+11	5.05377000176e-05
HiSeq X Five	6.00397750078e+11	4.83448167671e-05
454 GS	1.62548432307e+11	1.3088613631e-05
454 GS Junior	1.0428435175e+11	8.39711320767e-06
Illumina NextSeq 500	1.01368951115e+11	8.16236131281e-06
MinION	91326681782.0	7.35374457371e-06
AB SOLiD 4hq System	87680608227.0	7.060157934e-06
Illumina MiniSeq	69039397610.0	5.55914312926e-06
454 GS 20	51633988051.0	4.15763665163e-06
AB SOLiD PI System	46993823355.0	3.78400448534e-06
AB 3730xL Genetic Analyzer	14385987678.0	1.15837865518e-06
Ion S5	6017752213.0	4.84557325623e-07
AB 310 Genetic Analyzer	5457704856.0	4.39461575594e-07
Illumina Genome Analyzer IIx 	1521787288.0	1.22536314614e-07
AB 3500xL Genetic Analyzer	1154032159.0	9.29241877789e-08
Illumina MiSeq 	104689508.0	8.42973692197e-09
AB 3130xL Genetic Analyzer	76035391.0	6.12246972151e-09
AB 3730 Genetic Analyzer	74289728.0	5.98190664001e-09
454 GS FLX 	33393515.0	2.68888976295e-09
AB 3500 Genetic Analyzer	68752.0	5.53600149558e-12
AB 3130 Genetic Analyzer	10478.0	8.43702345687e-13
